manufacturer	total_dosage	percent_dosage	total_gms	percent_gms
RemedyRepack	1.4 million	0.00%	4,733.6	0.00%
STAT Rx USA LLC	22.9 million	0.03%	167,705.3	0.03%
Purdue Pharma LP	2.6 billion	3.37%	93.3 million	15.33%
Teva	686.3 million	0.90%	15.2 million	2.50%
Victory Pharma, Inc.	24.6 million	0.03%	137,598.2	0.02%
Allergan, Inc.	26.4 billion	34.45%	207.8 million	34.15%
Atley Pharmaceuticals, Inc.	3.3 million	0.00%	25,394.9	0.00%
Dispensing Solutions Inc.	95.2 million	0.12%	644,941.3	0.11%
Watson Pharma, Inc.	111,000.0	0.00%	484.3	0.00%
Apotheca Inc.	1.1 million	0.00%	3,753.1	0.00%
Sun Pharmaceutical Industries, Inc.	240.1 million	0.31%	2.2 million	0.36%
Coupler Enterprises	6,000.0	0.00%	18.2	0.00%
Pharmaceutical Manufacturing Research Services, Inc.	5,720.0	0.00%	51.3	0.00%
PharmPak, Inc.	216,956.0	0.00%	656.7	0.00%
Physicians Total Care, Inc	9.0 million	0.01%	104,654.0	0.02%
