"reporter_family","total_pills"
"The Coghlan Group Inc","172800.0"
"Tri-Point Rx, LLC","166230.0"
"Pallirx, Inc.","123010.0"
"Unit Dose Solutions, Inc.","87625.0"
"Catalent Pharma Solutions","82047.0"
"Resource Optimization & Innov LLC","73400.0"
"Redpharm Drug","57736.0"
"Future Pak Ltd","49176.0"
"Catalent CTS","47359.0"
"Forest Research Institute Inc","25800.0"
"Alcami Carolinas Corporation","21806.0"
"Coupler Enterprises Inc.","20093.0"
"Pharmaceutical Manufacturing","15886.0"
"Shire Laboratories","15667.0"
"Upsher-Smith Laboratories LLC","15300.0"
"Eon Labs, Inc.","13376.0"
"Pharmaceutics International","10030.0"
"Elite Laboratories Inc","9804.0"
"Legacy Pharmaceutical Packaging","8019.0"
"AAIPharma","6053.0"
"Bilcare Inc","1565.0"
"Aurolife Pharma LLC","1250.0"
"Poc Pharmacy Solutions, Inc.","1000.0"
"Unit Dose Services, LLC","498.0"
"ECI Pharmaceuticals","400.0"
"Acculogix LLC","300.0"
"Patheon Pharmaceuticals Inc","100.0"
"US Compounding, Inc","100.0"
"NorMed","100.0"
