"reporter_family","total_gms"
"Preferred Pharmaceuticals Inc","29837.146567500014"
"Rainbow Gold, Inc.","27878.871295500005"
"DispenseXpress,Inc.","26731.079814000008"
"Apace KY LLC","23198.540544"
"Rebel Distributors Corp","21227.148719499997"
"Nuline Pharmaceuticals, Inc.","18934.471644"
"Blenheim Pharmacal","15620.4443635"
"Core Pharmaceuticals Inc","14218.382713500005"
"Patient First Corporation","13875.162600000003"
"RemedyRepack","10224.5909136"
"RxChange Co","9754.0307475"
"Ohm Laboratories Inc","8906.083985000001"
"Formulation Technologies LLC","8309.092567004"
"Prescript Pharmaceuticals","7516.1039005"
"Living Well Pharmacy Inc","6968.838102"
"Shamrock Medical Solutions","6182.583463249998"
"Palmetto State Pharma.","5786.610706999999"
"Asclemed USA, Inc.","5394.801129"
"Genus Lifesciences Inc","5381.31072875"
"Aidapak Services, LLC","4528.6947"
"Apotheca Inc","3951.10328032"
"Pharmedix","3910.134817500001"
"Provident Pharmaceuticals","3725.6315999999997"
"Comprehensive Consultant Serv","3391.753499999999"
"Safecor Health, LLC","3344.8577745000002"
"Pharmpak","2125.8261569999995"
"Cerovene, Inc","1292.73507"
"USL Pharma LLC","1178.7289349999999"
"Nexgen Pharma, Inc","1040.53125"
"TYA Pharmaceuticals","1033.7870939999998"
"Tedor Pharma","933.1735635650549"
"Tri-Point Rx, LLC","763.1521049999998"
"Catalent Pharma Solutions","755.096955"
"Pallirx, Inc.","547.5843"
"The Coghlan Group Inc","523.0655999999998"
"Catalent CTS","394.9516645"
"Unit Dose Solutions, Inc.","384.29710275"
"Pharmaceutics International","359.67580000000004"
"Resource Optimization & Innov LLC","352.3428000000001"
"Future Pak Ltd","297.711504"
"Elite Laboratories Inc","260.93529"
"Redpharm Drug","258.070237"
"Alcami Carolinas Corporation","193.15465399999997"
"Legacy Pharmaceutical Packaging","188.0363925"
"AAIPharma","187.147408"
"Pharmaceutical Manufacturing","172.800375"
"Forest Research Institute Inc","136.66905"
"Upsher-Smith Laboratories LLC","69.46965"
"Shire Laboratories","65.508051092"
"Coupler Enterprises Inc.","60.821510999999994"
"Eon Labs, Inc.","49.409721000000005"
"Aurolife Pharma LLC","13.223374999999999"
"Bilcare Inc","7.0151125"
"Poc Pharmacy Solutions, Inc.","3.9351000000000003"
"Acculogix LLC","1.793"
"Unit Dose Services, LLC","1.5074459999999998"
"ECI Pharmaceuticals","1.2108"
"Patheon Pharmaceuticals Inc","0.45405"
"US Compounding, Inc","0.44825"
"NorMed","0.3027"
