"reporter_family","total_gms"
"Prescription Containers, Inc","1561.9320000000016"
"Benco Dental Supply Co","1497.8579774999998"
"Discount Generics & Brands Inc","1474.3002000000004"
"Pharmacorr LLC","1450.070404"
"D-V Medical Supply","1443.19987"
"Western Medical Supply","1439.0885500000018"
"Johnson Rx, Inc.","1438.4088000000006"
"Smith Medical Partners LLC","1435.716842725"
"Penn Veterinary Supply","1393.328100000001"
"Drug Valet Inc","1366.2184550000002"
"Merit Hlthcare International","1315.50393"
"Matrix","1312.2045"
"Professional Veterinary","1235.318700000002"
"Metro Medical Supply","1173.84033"
"D & H Wholesale Medical","1128.6169500000003"
"Quality Research Pharmaceutic","1072.9201500000004"
"Pharmpak","995.3627369999998"
"JOM Pharmaceutical Services, Inc.","981.7750799999998"
"American Veterinary Supply Corp.","969.5481000000009"
"TYA Pharmaceuticals","960.6850439999998"
"Prime Medical Care","842.3227980000001"
"Pharmacy Service Ctr Distr","814.97905"
"Hals Med Dent Supply Co., Inc.","790.7544827249999"
"R & S Sales LLC","779.4525000000002"
"Tri-Point Rx, LLC","757.098105"
"Just In Time Meds, LLC","712.048057575"
"Rainbow Gold, Inc.","681.075"
"Merritt Veterinary Supplies Inc","607.8216000000003"
"Rinor Corporation","602.6448875"
"Webster Veterinary Supply Inc","579.6705000000005"
"Pallirx, Inc.","537.77682"
"Universal Marine Med Supply","536.1880525750001"
"Emed Medical Company","524.9020249999999"
"CSC South LLC","523.8223500000001"
"The Coghlan Group Inc","488.5577999999999"
"Nationwide Medical Surgical","454.07725"
"Intermed Distributors Inc","446.17979999999994"
"Quantum Commerce, LLC","441.3366"
"Beck-Lee","437.00798999999995"
"Interpharm, Inc","435.8879999999999"
"SavMart Pharmaceutical","396.47712500000006"
"Howard Medical Company","387.91005"
"McGuff Company","373.0777500000001"
"Southern Anesthesia & Surgical, Inc.","371.54477499999996"
"DMS Pharmaceutical Group","330.6831499999999"
"Controlled Healthcare L L C","328.10160999999994"
"TW Medical","304.8188999999999"
"First Medical Inc.","294.07304999999997"
"Saddle River Marketing","283.47855"
"CT International","268.95000000000005"
"Everett Laboratories","268.62203399999953"
"Jose Ferrari Inc","260.20815"
"Apex Pharmaceuticals, Inc.","234.59250000000003"
"Quantum Pharmaceutical Supply & Services, LLC","222.18645"
"R Weinstein Pharmaceuticals","221.69747999999998"
"Buford Road Wholesale","204.77075000000002"
"The Rx Exchange, Inc.","197.83081810000002"
"Allpharm Inc","185.10104999999996"
"Goodwin Drug Co","176.10870000000006"
"Catalent CTS","174.85404800000003"
"Edwards Pharmaceuticals","157.1013"
"P M C Marketing Corp","148.9284"
"Bonita Pharmaceuticals","144.0852"
"Associated Medical Supply Inc","136.21500000000003"
"Premium Health Services, Inc.","121.08"
"Trimed Medical Wholesaler Inc","120.03190125"
"Enclara Pharmacia Wholesale","115.34630000000001"
"Animal Health International Inc","115.32870000000003"
"Miller Veterinary Supply Co Inc.","108.97199999999998"
"Heritage Thermal Services Inc.","100.40799999999999"
"Red Parrot Distribution, Inc","97.77210000000001"
"West International Medical Supplies LLC","91.44299999999997"
"Alcami Carolinas Corporation","82.78281000000001"
"Coast Laboratories Inc","81.67224374999999"
"DVM Resources","79.91279999999999"
"Phoenix Marketing Group","78.39930000000001"
"Medical Purchasing Solutions","77.45468499999998"
"Orion Medical Supply","74.85715"
"UW Health Pharmacy Services","72.3241"
"Capital Returns, Inc.","67.3609"
"Vertical Source Pharma Inc","66.99886125"
"Phoenix Pharmaceutical","62.65890000000002"
"US Oncology Specialty, LP","58.72380000000001"
"ACE Surgical Supply Co Inc","55.6399"
"AmeriDrugs, Inc.","52.972500000000004"
"Total Returns","52.82115"
"Bell Medical Services","52.445250000000016"
"PharmaLink","49.61640575"
"Vetessa Pharmaceutical, Inc","47.37254999999999"
"Eye Care and Cure Corporation","47.2212"
"Vindex Pharmaceuticals, Inc.","46.16974999999999"
"Trump Wholesale Pharmaceutical, Inc","45.344969999999996"
"Pharmax Inc.","45.10230000000001"
"Pharma Mate Inc. DBA ReturnCo","43.697469299999995"
"Pharmaceutics Inc","42.22665000000001"
"Lannett Company, Inc.","39.351"
"Michigan Rx Brokerage LLC","36.48225"
"American Medicine","35.71280000000001"
"Edwards Medical Supply","33.145649999999996"
"Alliance Wholesale Distrib","32.237550000000006"
"Windy Hill Distribution","30.037999999999997"
"Pharmacy Returns Logistics","28.469572499999998"
"New England Medical Supply","27.567375000000002"
"Myoderm","27.342"
"Cornell Surgical Co","24.877875"
"Magna Pharmaceuticals, Inc.","19.372799999999998"
"Coupler Enterprises Inc.","18.413241000000003"
"Pharma-Safe","18.01065"
"Ivesco, LLC","17.844165"
"Pharmakop","17.40525"
"Rally Inc","17.079090750000002"
"CSC High Plains","16.043100000000003"
"Pharmacy Medical Solutions Inc","14.65775"
"G Medical DBA Pharmaceutics","14.471599999999997"
"Catalent Pharma Solutions","14.11091"
"King Pharmaceuticals","13.0161"
"KVK-Tech, Inc","12.550999999999998"
"Formulation Technologies LLC","9.834723"
"Centro Medico de Puerto Rico","9.4124"
"Baron Health Resources Inc","9.081"
"Hanna's Pharmac Supply Inc","8.9766"
"NYS Dept of Correctional Svs","8.965"
"Unitor Ships Service","8.697099999999999"
"Orthomeds, Inc","8.44533"
"Allegis Pharmaceuticals","8.0685"
"Red X Medical","7.567499999999999"
"Willow Birch Pharma","6.6594"
"Harbin Clinic","6.2755"
"M D Wholesale","6.054"
"Prime Rx","6.053999999999999"
"Vet Pharm, Inc.","5.7513000000000005"
"Boehringer Ingelheim Roxane Inc.","5.379"
"Center Medical Supply Co","5.29725"
"ECR Pharmaceuticals Co, Inc","4.8431999999999995"
"Forest Pharmaceuticals","4.5405"
"Price and Novelties","4.482"
"Unit Dose Solutions, Inc.","3.9759775"
"Two Rivers Medical","3.5859999999999994"
"Richmark Medical Supply","3.4848337500000004"
"Fruth Inc","3.30321375"
"Return Solutions","3.1310262499999997"
"Kern Surgical Supply","3.0270000000000006"
"SSM Health Medication Purchasing","3.02004"
"Bound Tree Medical","2.6895"
"Wholesalers Group Inc","2.27025"
"Alphagen Laboratories","2.27025"
"Midwest Medical Supply Co","2.26445"
"Blue Ridge Medical Inc","2.241"
"Northland Veterinary Supply","2.1189"
"Wall Medical Inc","1.9675500000000001"
"Cephalon, Inc.","1.8161999999999998"
"National Pharmaceutical","1.6711161"
"Quiq, Inc","1.404528"
"E Z Pharmacy Returns, Llc","1.3799485"
"Poc Pharmacy Solutions, Inc.","1.3318800000000002"
"NorMed","1.2108"
"Hawaii Mega-Cor Inc","1.2108"
"Great Western","1.2108"
"Medical Center Pharmacy","0.9413249999999999"
"Ocean Medical","0.8965"
"Park Surgical Company Inc","0.89645"
"Preferred Medsurg, Inc.","0.672375"
"Saint Elizabeths Hospital","0.672375"
"Returns, LLC","0.6674534999999999"
"Boca Pharmacal LLC","0.6054"
"Brookshire Grocery Company","0.6054"
"Southern Medical Lasers DBA SML Medical Sales","0.45405"
"Integrated Commercialization Solutions, LLC","0.44825"
"Savoy Medical Supply Company","0.44825"
"US Compounding, Inc","0.44825"
"Sunbelt Medical Supply, Inc","0.44825"
"Ambulatory Medical Associates PLLC","0.44825"
"Ethex Corp","0.44825"
"ARK Business Services Inc","0.3586"
"Gavis Pharmaceuticals, LLC","0.3027"
"Pharmed Group Corp","0.3027"
"Pharmaceutical Returns Serv","0.3027"
"RemedyRepack","0.18162"
"Mikart","0.169512"
"Pharmacal Company","0.075675"
"Alaska Native Tribal Health","0.075675"
"Alexander Infusion LLC","0.044825"
"Novartis Consumer Health","0.03586"
